                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2452,                 4.5268,                 1.5388,                0.01667,                0.26415,                0.01634,                0.00625,                 2.1814,                 4.1604,                 1.4984,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                 2.0742,                 2.6857,                 1.4088,                0.57878,                 0.1702,                0.18841,                0.09064,                 1.8962,                 1.6309,                 1.3557,             8.1799e-05,             8.1799e-05,             8.1799e-05
                      3,                 1.9016,                 1.6741,                 1.2943,                0.42265,                0.27155,                0.26667,                  0.125,                 1.9692,                 1.5658,                 1.3757,              0.0001221,              0.0001221,              0.0001221
                      4,                 1.8643,                 1.5101,                 1.2305,                0.55972,                0.32632,                0.27886,                0.12707,                 1.9183,                 1.7176,                 1.3643,             0.00015936,             0.00015936,             0.00015936
                      5,                 1.7696,                 1.4892,                 1.2547,                0.43342,                0.27846,                0.27654,                0.12828,                 1.8088,                 2.1575,                 1.3434,             0.00019357,             0.00019357,             0.00019357
                      6,                 1.7567,                 1.5044,                 1.3003,                0.52275,                0.29915,                0.28605,                0.14305,                 1.8096,                 1.5862,                 1.3549,             0.00022474,             0.00022474,             0.00022474
                      7,                 1.7118,                 1.4551,                 1.2417,                0.44753,                0.32894,                 0.3373,                0.16136,                   1.84,                  1.545,                 1.3561,             0.00025286,             0.00025286,             0.00025286
                      8,                 1.6837,                 1.4399,                 1.2284,                0.57745,                 0.3316,                0.33085,                0.15722,                 1.7625,                 1.6593,                  1.353,             0.00027794,             0.00027794,             0.00027794
                      9,                 1.7037,                 1.4243,                 1.2294,                0.63805,                 0.2812,                0.33865,                0.14149,                 1.9608,                 1.7249,                 1.4513,             0.00029997,             0.00029997,             0.00029997
                     10,                 1.5758,                 1.2532,                 1.1824,                 0.5975,                0.34781,                0.38873,                0.20129,                 1.7378,                 1.4775,                 1.3152,             0.00031896,             0.00031896,             0.00031896
                     11,                 1.5053,                 1.2408,                  1.154,                0.52689,                0.35326,                0.37267,                0.21678,                 1.6551,                 1.3585,                 1.2813,              0.0003349,              0.0003349,              0.0003349
                     12,                 1.4891,                 1.2041,                 1.1506,                0.55951,                0.28836,                0.34281,                0.17733,                 1.8184,                 1.4975,                  1.376,              0.0003478,              0.0003478,              0.0003478
                     13,                  1.551,                 1.2398,                 1.1778,                0.51105,                0.30424,                0.33584,                 0.1763,                 1.8513,                 1.6747,                 1.4274,             0.00035765,             0.00035765,             0.00035765
                     14,                  1.545,                  1.133,                  1.171,                  0.374,                0.31744,                0.33564,                0.18377,                 1.7539,                 1.5169,                 1.3687,             0.00036445,             0.00036445,             0.00036445
                     15,                 1.4275,                 1.1011,                 1.1323,                0.35094,                0.38107,                0.33862,                0.17541,                 1.8102,                 1.4493,                 1.4052,             0.00036821,             0.00036821,             0.00036821
                     16,                 1.4705,                 1.1067,                 1.1349,                0.42721,                0.33767,                0.34967,                0.18753,                 1.7618,                 1.5032,                 1.3598,             0.00036893,             0.00036893,             0.00036893
                     17,                 1.4459,                 1.0678,                  1.098,                0.55337,                0.30708,                0.37451,                0.19707,                  1.803,                 1.5138,                 1.3913,             0.00036297,             0.00036297,             0.00036297
                     18,                 1.4433,                 1.0352,                 1.1264,                0.46167,                0.39066,                0.38646,                 0.2123,                 1.7981,                 1.4749,                 1.4043,             0.00033759,             0.00033759,             0.00033759
                     19,                 1.4316,                 1.0196,                 1.1392,                0.46589,                0.39912,                  0.383,                0.22314,                 1.7337,                 1.4725,                 1.3656,             0.00031221,             0.00031221,             0.00031221
                     20,                 1.3077,                0.94713,                 1.0674,                0.52406,                0.34668,                0.38475,                0.22101,                 1.7233,                 1.4786,                 1.3547,             0.00028684,             0.00028684,             0.00028684
                     21,                 1.4317,                 1.1072,                 1.1447,                0.51157,                0.29526,                0.36862,                0.20535,                 1.7621,                  1.516,                 1.3702,             0.00026146,             0.00026146,             0.00026146
                     22,                 1.4007,                 1.0686,                 1.1098,                0.55105,                0.35176,                0.39076,                0.22418,                 1.7918,                 1.5022,                 1.4215,             0.00023608,             0.00023608,             0.00023608
                     23,                 1.4189,                 1.0499,                 1.0781,                0.63447,                0.31741,                0.39779,                0.23326,                 1.7686,                 1.4929,                 1.3967,             0.00021071,             0.00021071,             0.00021071
                     24,                 1.3397,                0.98252,                 1.0751,                0.49149,                0.38887,                0.40558,                 0.2328,                 1.6912,                 1.4089,                 1.3348,             0.00018533,             0.00018533,             0.00018533
                     25,                 1.3757,                0.96449,                 1.0902,                 0.4682,                0.40479,                0.40906,                0.23674,                 1.6685,                 1.3608,                 1.3219,             0.00015995,             0.00015995,             0.00015995
                     26,                   1.31,                0.95552,                 1.0682,                0.60889,                0.36474,                0.41689,                 0.2287,                  1.664,                 1.2948,                 1.3146,             0.00013457,             0.00013457,             0.00013457
                     27,                 1.2304,                0.88936,                 1.0383,                0.60761,                0.33502,                0.41136,                  0.221,                 1.6963,                 1.2796,                 1.3295,              0.0001092,              0.0001092,              0.0001092
                     28,                 1.2887,                0.97012,                  1.065,                0.52342,                0.41052,                0.41817,                0.21425,                  1.752,                 1.2803,                 1.3639,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     29,                 1.2309,                0.89274,                 1.0523,                0.45427,                0.40485,                0.42048,                0.21543,                 1.7519,                 1.2829,                 1.3627,             5.8444e-05,             5.8444e-05,             5.8444e-05
                     30,                 1.2265,                0.89757,                 1.0512,                0.52236,                0.38735,                0.43062,                0.22207,                  1.745,                 1.2891,                 1.3593,             3.3067e-05,             3.3067e-05,             3.3067e-05
