                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2452,                 4.5268,                 1.5388,                0.01667,                0.26415,                0.01634,                0.00625,                 2.1814,                 4.1604,                 1.4984,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                 2.0894,                   2.69,                   1.41,                0.74594,                0.15219,                0.17879,                0.08712,                 1.9203,                 1.6711,                 1.3507,             8.4311e-05,             8.4311e-05,             8.4311e-05
                      3,                  1.921,                 1.7024,                 1.3046,                0.54809,                0.26363,                0.26021,                0.12262,                 1.9679,                 1.7045,                 1.3775,             0.00012987,             0.00012987,             0.00012987
                      4,                 1.9091,                 1.5644,                   1.26,                0.52359,                0.31804,                0.30579,                0.14448,                 1.8638,                 1.7561,                 1.3348,             0.00017512,             0.00017512,             0.00017512
                      5,                 1.7901,                 1.5613,                 1.2637,                0.52074,                0.29184,                0.32275,                0.14951,                 1.7479,                 1.8691,                 1.3142,             0.00022007,             0.00022007,             0.00022007
                      6,                 1.7523,                 1.4987,                 1.3051,                0.52526,                0.31815,                0.32133,                0.15968,                 1.7821,                 1.5575,                 1.3577,             0.00026471,             0.00026471,             0.00026471
                      7,                 1.7235,                 1.4683,                 1.2367,                0.32336,                0.34803,                 0.3161,                0.15272,                 1.8263,                 1.6248,                 1.3666,             0.00030905,             0.00030905,             0.00030905
                      8,                 1.7408,                 1.4185,                 1.2462,                0.35146,                0.37836,                0.33811,                0.14362,                 1.8753,                 1.7477,                 1.4105,             0.00035308,             0.00035308,             0.00035308
                      9,                 1.7108,                 1.4009,                 1.2327,                0.41996,                0.36163,                0.28925,                 0.1268,                 2.0438,                 1.6716,                 1.5057,             0.00039681,             0.00039681,             0.00039681
                     10,                   1.62,                 1.3222,                 1.2003,                0.30305,                0.33541,                0.28467,                0.14129,                 1.8279,                 1.7196,                 1.3646,             0.00044023,             0.00044023,             0.00044023
                     11,                 1.5733,                 1.3228,                  1.179,                 0.3113,                0.29904,                 0.2952,                0.15723,                 1.8283,                 1.5941,                 1.3733,             0.00048335,             0.00048335,             0.00048335
                     12,                 1.5196,                 1.2913,                 1.1632,                0.28533,                0.43465,                0.33722,                0.16554,                  1.917,                 1.8672,                 1.4104,             0.00052617,             0.00052617,             0.00052617
                     13,                 1.5988,                 1.3174,                 1.1982,                0.38745,                0.21406,                 0.2172,                0.10997,                 1.9309,                  1.816,                 1.4442,             0.00056868,             0.00056868,             0.00056868
                     14,                 1.6257,                 1.2915,                 1.2355,                0.45917,                0.21236,                0.20267,                0.10806,                 1.8291,                 1.6163,                 1.3881,             0.00061089,             0.00061089,             0.00061089
                     15,                 1.5571,                 1.1888,                 1.2116,                0.41428,                0.28346,                0.26732,                0.14266,                 1.8845,                  1.533,                 1.4248,             0.00065279,             0.00065279,             0.00065279
                     16,                 1.5938,                  1.216,                 1.2014,                0.43616,                0.23151,                0.27233,                0.14877,                 1.7999,                 1.6278,                 1.3981,             0.00069439,             0.00069439,             0.00069439
                     17,                 1.4852,                  1.129,                 1.1357,                0.56123,                0.19541,                0.26868,                0.13524,                 1.8722,                 1.6505,                 1.4567,              0.0007284,              0.0007284,              0.0007284
                     18,                 1.4678,                 1.1231,                 1.1577,                0.28166,                0.28906,                0.29115,                0.16499,                 1.7659,                 1.5826,                 1.4288,             0.00072586,             0.00072586,             0.00072586
                     19,                 1.5267,                 1.1397,                 1.1997,                0.31345,                0.30588,                0.29089,                0.16408,                 1.7334,                 1.6514,                 1.4433,             0.00072332,             0.00072332,             0.00072332
                     20,                 1.4102,                 1.0552,                 1.1406,                0.42141,                 0.2695,                0.27598,                0.14494,                 1.9009,                  1.652,                 1.5272,             0.00072078,             0.00072078,             0.00072078
                     21,                 1.4639,                 1.0939,                 1.1356,                0.41372,                0.26124,                 0.2827,                0.15602,                 1.8453,                 1.5506,                 1.5067,             0.00071825,             0.00071825,             0.00071825
                     22,                 1.3734,                 1.0536,                 1.1039,                0.41852,                0.28149,                0.26633,                0.14798,                 1.8316,                 1.6505,                 1.4662,             0.00071571,             0.00071571,             0.00071571
                     23,                 1.4532,                 1.0839,                 1.1533,                0.45206,                0.29557,                0.30955,                0.14968,                 1.9165,                 1.6565,                 1.4961,             0.00071317,             0.00071317,             0.00071317
